s,p,o
rc:100EuroNote,owl:equivalentClass,http://dbpedia.org/resource/100_euro_note
rc:10EuroNote,owl:equivalentClass,http://dbpedia.org/resource/10_euro_note
rc:10MeterAirPistol,owl:equivalentClass,http://dbpedia.org/resource/ISSF_10_meter_air_pistol
rc:112_Trichloro_122_trifluoroethane,owl:equivalentClass,"http://dbpedia.org/resource/1,1,2-Trichloro-1,2,2-trifluoroethane"
rc:124_Trioxane,owl:equivalentClass,"http://dbpedia.org/resource/1,2,4-Trioxane"
rc:12_Dichlorotetrafluoroethane,owl:equivalentClass,"http://dbpedia.org/resource/1,2-dichlorotetrafluoroethane"
rc:12_Dimethoxybenzene,owl:equivalentClass,"http://dbpedia.org/resource/1,2-Dimethoxybenzene"
rc:12_O_Tetradecanoylphorbol_13_acetate,owl:equivalentClass,http://dbpedia.org/resource/12-O-Tetradecanoylphorbol-13-acetate
rc:13_Dimethylpentylamine,owl:equivalentClass,http://dbpedia.org/resource/Methylhexanamine
rc:14_Dimethoxybenzene,owl:equivalentClass,"http://dbpedia.org/resource/1,4-Dimethoxybenzene"
rc:14_Dioxane,owl:equivalentClass,"http://dbpedia.org/resource/1,4-Dioxane"
rc:17_Hydroxypregnenolone,owl:equivalentClass,http://dbpedia.org/resource/17-Hydroxypregnenolone
rc:17_Ketosteroid,owl:equivalentClass,http://dbpedia.org/resource/17-Ketosteroid
rc:1948Arab_IsraeliWar,owl:equivalentClass,http://dbpedia.org/resource/1948_Arab–Israeli_War
rc:1999UEFAChampionsLeagueFinal,owl:equivalentClass,http://dbpedia.org/resource/1999_UEFA_Champions_League_Final
rc:1_2_Nitrophenoxyoctane,owl:equivalentClass,http://dbpedia.org/resource/1-(2-Nitrophenoxy)octane
rc:1_Amino_2_propanol,owl:equivalentClass,http://dbpedia.org/resource/1-Amino-2-propanol
rc:1_Amino_2_propanone,owl:equivalentClass,http://dbpedia.org/resource/1-Amino-2-propanone
rc:1p36DeletionSyndrome,owl:equivalentClass,http://dbpedia.org/resource/1p36_deletion_syndrome
rc:2009FluPandemic,owl:equivalentClass,http://dbpedia.org/resource/2009_flu_pandemic
rc:200EuroNote,owl:equivalentClass,http://dbpedia.org/resource/200_euro_note
rc:2011CricketWorldCup,owl:equivalentClass,http://dbpedia.org/resource/2011_Cricket_World_Cup
rc:2011CricketWorldCup_Cricketers,owl:equivalentClass,http://dbpedia.org/resource/Category:Cricketers_at_the_2011_Cricket_World_Cup
rc:2011IIHFWorldChampionship,owl:equivalentClass,http://dbpedia.org/resource/2011_IIHF_World_Championship
rc:2011RugbyWorldCup,owl:equivalentClass,http://dbpedia.org/resource/2011_Rugby_World_Cup
rc:2011SoutheastAsianGames,owl:equivalentClass,http://dbpedia.org/resource/2011_Southeast_Asian_Games
rc:2011WorldAquaticsChampionship_Diving,owl:equivalentClass,http://dbpedia.org/resource/Diving_at_the_2011_World_Aquatics_Championships
rc:2011WorldAquaticsChampionships,owl:equivalentClass,http://dbpedia.org/resource/2011_World_Aquatics_Championships
rc:2011WorldAquaticsChampionships_OpenWaterSwimming,owl:equivalentClass,http://dbpedia.org/resource/Open_water_swimming_at_the_2011_World_Aquatics_Championships
rc:2011WorldAquaticsChampionships_Swimming,owl:equivalentClass,http://dbpedia.org/resource/Swimming_at_the_2011_World_Aquatics_Championships
rc:2011WorldChampionshipsInAthletics,owl:equivalentClass,http://dbpedia.org/resource/2011_World_Championships_in_Athletics
rc:2012IAAFWorldIndoorChampionships,owl:equivalentClass,http://dbpedia.org/resource/2012_IAAF_World_Indoor_Championships
rc:2012WorldFigureSkatingChampionships,owl:equivalentClass,http://dbpedia.org/resource/2012_World_Figure_Skating_Championships
rc:2012WorldJuniorIceHockeyChampionships,owl:equivalentClass,http://dbpedia.org/resource/2012_World_Junior_Ice_Hockey_Championships
rc:20EuroNote,owl:equivalentClass,http://dbpedia.org/resource/20_euro_note
rc:22_Bipyridine,owl:equivalentClass,"http://dbpedia.org/resource/2,2'-Bipyridine"
rc:22_Dimethoxypropane,owl:equivalentClass,"http://dbpedia.org/resource/2,2-Dimethoxypropane"
rc:24_Dimethyl_6_tert_butylphenol,owl:equivalentClass,"http://dbpedia.org/resource/2,4-Dimethyl-6-tert-butylphenol"
rc:250t_classTorpedoBoat,owl:equivalentClass,http://dbpedia.org/resource/250t-class_torpedo_boat
rc:26_Di_tert_butylphenol,owl:equivalentClass,"http://dbpedia.org/resource/2,6-Di-tert-butylphenol"
rc:26_Lutidine,owl:equivalentClass,"http://dbpedia.org/resource/2,6-Lutidine"
rc:2_Chloro_1112_tetrafluoroethane,owl:equivalentClass,"http://dbpedia.org/resource/1-Chloro-1,2,2,2-tetrafluoroethane"
rc:2_MethoxybenzoicAcid,owl:equivalentClass,http://dbpedia.org/resource/O-Anisic_acid
rc:33_DiaminobenzidineTetrahydrochloride,owl:equivalentClass,"http://dbpedia.org/resource/3,3'-Diaminobenzidine"
rc:35_DinitrobenzoicAcid,owl:equivalentClass,"http://dbpedia.org/resource/3,5-Dinitrobenzoic_acid"
rc:3DFilm,owl:equivalentClass,http://dbpedia.org/resource/3D_film
rc:3DGraphicsSoftware,owl:equivalentClass,http://dbpedia.org/resource/Category:3D_graphics_software
rc:3_Amino_5_nitrosalicylicAcid,owl:equivalentClass,http://dbpedia.org/resource/3-Amino-5-nitrosalicylic_acid
rc:3_NitrobenzoicAcid,owl:equivalentClass,http://dbpedia.org/resource/3-Nitrobenzoic_acid
rc:3_PhosphoglycerateMolecule,owl:equivalentClass,http://dbpedia.org/resource/3-phosphoglycerate
rc:4_AminobenzoicAcid,owl:equivalentClass,http://dbpedia.org/resource/4-Aminobenzoic_acid
rc:4_Aminopyridine,owl:equivalentClass,http://dbpedia.org/resource/4-Aminopyridine
rc:4_Chlorodehydromethyltestosterone,owl:equivalentClass,http://dbpedia.org/resource/Chlorodehydromethyltestosterone
rc:4_Dimethylaminopyridine,owl:equivalentClass,http://dbpedia.org/resource/4-Dimethylaminopyridine
rc:4_HydroxybenzoicAcid,owl:equivalentClass,http://dbpedia.org/resource/4-Hydroxybenzoic_acid
rc:4_Hydroxytestosterone,owl:equivalentClass,http://dbpedia.org/resource/4-Hydroxytestosterone
rc:4_MethoxybenzoicAcid,owl:equivalentClass,http://dbpedia.org/resource/P-Anisic_acid
rc:4_MethylbenzoicAcid,owl:equivalentClass,http://dbpedia.org/resource/P-Toluic_acid
rc:4_tert_Butylcatechol,owl:equivalentClass,http://dbpedia.org/resource/4-tert-Butylcatechol
rc:5013COrganization,owl:equivalentClass,http://dbpedia.org/resource/501(c)(3)_organization
